,E4,Tizen,WearOS/watchOS,Fitbit
S2,0.8857142925262451,0.7428571581840515,0.8571428656578064,0.9714285731315613
S3,0.7428571581840515,0.5428571701049805,0.4000000059604645,0.7428571581840515
S4,0.9722222089767456,0.7777777910232544,0.9444444179534912,0.9722222089767456
S5,0.9444444179534912,0.2777777910232544,0.7777777910232544,0.9444444179534912
S6,0.9444444179534912,0.6944444179534912,0.5833333134651184,0.8888888955116272
S7,0.3333333432674408,0.9444444179534912,0.8888888955116272,0.8888888955116272
S8,1.0,0.9722222089767456,0.9166666865348816,0.9166666865348816
S9,0.9722222089767456,0.3333333432674408,0.6944444179534912,0.8611111044883728
S10,1.0,0.3513513505458832,0.7837837934494019,1.0
S11,0.6756756901741028,0.5135135054588318,0.3243243098258972,0.837837815284729
S13,0.8648648858070374,0.7567567825317383,0.9729729890823364,0.8918918967247009
S14,0.4324324429035187,0.1621621549129486,0.7837837934494019,0.7567567825317383
S15,0.9729729890823364,0.6756756901741028,0.6756756901741028,1.0
S16,0.5945945978164673,0.45945945382118225,0.18918919563293457,0.9459459185600281
S17,0.6756756901741028,0.9459459185600281,0.6486486196517944,0.6486486196517944
