,E4,Tizen,WearOS_watchOS,Fitbit
S2,0.8571428656578064,0.800000011920929,0.9275362362157544,0.9714285731315613
S3,0.6760563573485399,0.8571428656578064,0.5428571701049805,0.7246376831124391
S4,1.0,0.8333333134651184,0.7945205657963994,1.0
S5,0.9444444179534912,0.9722222089767456,0.9722222089767456,0.8732394365251265
S6,0.9589040890758268,0.75,0.6478873372811027,0.7777777910232544
S7,0.9722222089767456,0.4225352082288446,0.9428571401323584,0.9863013781398831
S8,0.9722222089767456,0.8611111044883728,0.9859154861471383,0.945945941330831
S9,0.9444444179534912,0.8333333134651184,0.8055555820465088,1.0
S10,0.9729729890823364,0.749999997079556,0.9315068306361874,1.0
S11,0.7027027010917664,0.837837815284729,0.6216216087341309,0.7297297120094299
S13,1.0,0.8918918967247009,0.9459459185600281,0.9295774545491721
S14,0.21621622145175934,0.32876712067039043,0.4864864945411682,0.29729729890823364
S15,0.9041096011879609,0.7297297120094299,0.7894736884001878,0.9473684311036918
S16,1.0,0.4054054021835327,0.6849315014134245,1.0
S17,0.8648648858070374,0.9459459185600281,0.9333333216137354,0.837837815284729
